метража́ми	metražámi	[mʲɪtrɐˈʐamʲɪ]
контролёрах	kontroljórax	[kəntrɐˈlʲɵrəx]
о́хлуп	óxlup	[ˈoxlʊp]
бронеси́лы	bronesíly	[brənʲɪˈsʲilɨ]
магнети́там	magnetítam	[məɡnʲɪˈtʲitəm]
обреше́чивай	obrešéčivaj	[ɐbrʲɪˈʂɛt͡ɕɪvəj]
мохе́рам	moxéram	[mɐˈxʲerəm]
переска́занные	pereskázannyje	[pʲɪrʲɪˈskazən(ː)ɨje]
амоксицилли́не	amoksicillíne	[ɐməksʲɪt͡sɨˈlʲinʲe]
арга́ндовой ла́мпой	argándovoj lámpoj	[ɐrˈɡandəvəj ˈlampəj]
аллилу́йю	allilújju	[ɐlʲɪˈlujːʊ]
отпочко́вываться	otpočkóvyvatʹsja	[ɐtpɐt͡ɕˈkovɨvət͡sə]
сене́й	senéj	[sʲɪˈnʲej]
		
облача́л	oblačál	[ɐblɐˈt͡ɕal]
напрягу́тся	naprjagútsja	[nəprʲɪˈɡut͡sːə]
послужи́л	poslužíl	[pəslʊˈʐɨl]
обно́ву	obnóvu	[ɐbˈnovʊ]
на́рдом	nárdom	[ˈnardəm]
гербици́д	gerbicíd	[ɡʲɪrbʲɪˈt͡sɨt]
изойдя́	izojdjá	[ɪzɐjˈdʲa]
освеща́ет	osveščájet	[ɐsvʲɪˈɕːæ(j)ɪt]
бу́шмам	búšmam	[ˈbuʂməm]
арменове́дами	armenovédami	[ɐrmʲɪnɐˈvʲedəmʲɪ]
шута́м	šutám	[ʂʊˈtam]
компа́ктности	kompáktnosti	[kɐmˈpaktnəsʲtʲɪ]
дирижа́блю	dirižáblju	[dʲɪrʲɪˈʐablʲʊ]
многосло́виях	mnogoslóvijax	[mnəɡɐsˈlovʲɪjəx]
жу́к-носоро́г	žúk-nosoróg	[ˈʐuk nəsɐˈrok]
воздвига́йте	vozdvigájte	[vəzdvʲɪˈɡajtʲe]
наблюда́ешь	nabljudáješʹ	[nəblʲʊˈda(j)ɪʂ]
лепни́нами	lepnínami	[lʲɪpˈnʲinəmʲɪ]
хо́веркрафтом	xóverkraftom	[ˈxovʲɪrkrəftəm]
вгиба́ла	vgibála	[vɡʲɪˈbalə]
прикрыва́юсь	prikryvájusʹ	[prʲɪkrɨˈvajʉsʲ]
медоно́сная пчела́	medonósnaja pčelá	[mʲɪdɐˈnosnəjə pt͡ɕɪˈla]
бу́дущие	búduščije	[ˈbudʊɕːɪje]
утонча́в	utončáv	[ʊtɐnʲˈt͡ɕaf]
приложи́лись	priložílisʹ	[prʲɪlɐˈʐɨlʲɪsʲ]
учу́ют	učújut	[ʊˈt͡ɕʉjʊt]
мно́жащий	mnóžaščij	[ˈmnoʐəɕːɪj]
направле́ние	napravlénije	[nəprɐˈvlʲenʲɪje]
переска́занных	pereskázannyx	[pʲɪrʲɪˈskazən(ː)ɨx]
сете́й	setéj	[sʲɪˈtʲej]
оха́ять	oxájatʹ	[ɐˈxa(j)ɪtʲ]
недофинанси́рую	nedofinansíruju	[nʲɪdəfʲɪnɐn⁽ʲ⁾ˈsʲirʊjʊ]
переска́занных	pereskázannyx	[pʲɪrʲɪˈskazən(ː)ɨx]
бя́ка	bjáka	[ˈbʲakə]
вво́дятся	vvódjatsja	[ˈvːodʲət͡sə]
предложи́вшийся	predložívšijsja	[prʲɪdlɐˈʐɨfʂɨjsʲə]
сумасше́ствуешь	sumasšéstvuješʹ	[sʊmɐˈʂɛstvʊ(j)ɪʂ]
настро́йке	nastrójke	[nɐˈstrojkʲe]
динами́змами	dinamízmami	[dʲɪnɐˈmʲizməmʲɪ]
закача́йся	zakačájsja	[zəkɐˈt͡ɕæjsʲə]
же́ртвуй	žértvuj	[ˈʐɛrtvʊj]
зы́блетесь	zýbletesʹ	[ˈzɨblʲɪtʲɪsʲ]
выны́ривавши	vynýrivavši	[vɨˈnɨrʲɪvəfʂɨ]
переска́зана	pereskázana	[pʲɪrʲɪˈskazənə]
кусо́чками	kusóčkami	[kʊˈsot͡ɕkəmʲɪ]
скотобо́йням	skotobójnjam	[skətɐˈbojnʲəm]
ферме́нты	ferménty	[fʲɪrˈmʲentɨ]
пригу́бивший	prigúbivšij	[prʲɪˈɡubʲɪfʂɨj]
отчуди́	otčudí	[ɐt͡ɕːʉˈdʲi]
космодро́мами	kosmodrómami	[kəsmɐˈdroməmʲɪ]
носи́телей	nosítelej	[nɐˈsʲitʲɪlʲɪj]
баско́й	baskój	[bɐˈskoj]
подпили́ли	podpilíli	[pətpʲɪˈlʲilʲɪ]
совко́вым лопа́там	sovkóvym lopátam	[sɐfˈkovɨm lɐˈpatəm]
спя́щих	spjáščix	[ˈspʲæɕːɪx]
изобража́лся	izobražálsja	[ɪzəbrɐˈʐals⁽ʲ⁾ə]
засло́нам	zaslónam	[zɐsˈlonəm]
передёрнем	peredjórnem	[pʲɪrʲɪˈdʲɵrnʲɪm]
цветно́го	cvetnóvo	[t͡svʲɪtˈnovə]
подпира́ет	podpirájet	[pətpʲɪˈra(j)ɪt]
клепа́ют	klepájut	[klʲɪˈpajʊt]
оживля́ли	oživljáli	[ɐʐɨˈvlʲælʲɪ]
иммуниза́ции	immunizácii	[ɪmʊnʲɪˈzat͡sɨɪ]
промыва́нии	promyvánii	[prəmɨˈvanʲɪɪ]
прива́ливающий	priválivajuščij	[prʲɪˈvalʲɪvəjʉɕːɪj]
отпочко́вываться	otpočkóvyvatʹsja	[ɐtpɐt͡ɕˈkovɨvət͡sə]
мысли́теле	myslítele	[mɨs⁽ʲ⁾ˈlʲitʲɪlʲe]
вербу́ет	verbújet	[vʲɪrˈbu(j)ɪt]
сна́стям	snástjam	[ˈsnasʲtʲəm]
медоно́сная пчела́	medonósnaja pčelá	[mʲɪdɐˈnosnəjə pt͡ɕɪˈla]
сте́рлинги	stérlingi	[ˈsʲtʲerlʲɪnɡʲɪ]
обезлю́жу	obezljúžu	[ɐbʲɪz⁽ʲ⁾ˈlʲuʐʊ]
обстри́женный	obstrížennyj	[ɐpˈstrʲiʐɨn(ː)ɨj]
обрати́лось	obratílosʹ	[ɐbrɐˈtʲiləsʲ]
шо́рского языка́	šórskovo jazyká	[ˈʂorskəvə (j)ɪzɨˈka]
станови́лся	stanovílsja	[stənɐˈvʲils⁽ʲ⁾ə]
за́мысел	zámysel	[ˈzamɨsʲɪl]
любо́вник	ljubóvnik	[lʲʊˈbovnʲɪk]
узако́нишь	uzakónišʹ	[ʊzɐˈkonʲɪʂ]
ви́це-спи́керу	více-spíkeru	[ˌvʲit͡sɨ ˈspʲikʲɪrʊ]
согляда́тае	sogljadátaje	[səɡlʲɪˈdatəje]
агити́ровать	agitírovatʹ	[ɐɡʲɪˈtʲirəvətʲ]
изра́нили	izránili	[ɪzˈranʲɪlʲɪ]
разгорячи́тся	razgorjačítsja	[rəzɡərʲɪˈt͡ɕit͡sːə]
тропопа́узой	tropopáuzoj	[trəpɐˈpaʊzəj]
приката́ют	prikatájut	[prʲɪkɐˈtajʊt]
раскали́м	raskalím	[rəskɐˈlʲim]
до́нов	dónov	[ˈdonəf]
вытра́вливаемый	vytrávlivajemyj	[vɨˈtravlʲɪvə(j)ɪmɨj]
по́тчую	pótčuju	[ˈpot͡ɕːʉjʊ]
жу́к-носоро́г	žúk-nosoróg	[ˈʐuk nəsɐˈrok]
двадцатичетырёхуго́льник	dvadcatičetyrjoxugólʹnik	[dvət͡s(ː)ɨˌtʲit͡ɕɪtɨˌrʲɵxʊˈɡolʲnʲɪk]
свинцо́вый	svincóvyj	[svʲɪnˈt͡sovɨj]
терроризи́ровав	terrorizírovav	[tʲɪrərʲɪˈzʲirəvəf]
пла́менем	plámenem	[ˈplamʲɪnʲɪm]
бу́лочек с начи́нкой	búloček s načínkoj	[ˈbulət͡ɕɪk s‿nɐˈt͡ɕinkəj]
чита́тельницею	čitátelʹniceju	[t͡ɕɪˈtatʲɪlʲnʲɪt͡sɨjʊ]
миллили́трам	millilítram	[mʲɪlʲɪˈlʲitrəm]
наконе́ц-то	nakonéc-to	[nəkɐˈnʲet͡s‿tə]
переска́занной	pereskázannoj	[pʲɪrʲɪˈskazən(ː)əj]
нонконформи́ста	nonkonformísta	[nənkənfɐrˈmʲistə]
гонг	gong	[ɡonk]
а́ффиксе	áffikse	[ˈafʲɪksʲe]
му́соря	músorja	[ˈmusərʲə]
горни́лами	gornílami	[ɡɐrˈnʲiləmʲɪ]
изменя́лся	izmenjálsja	[ɪzmʲɪˈnʲals⁽ʲ⁾ə]
су́пя	súpja	[ˈsupʲə]
меша́л	mešál	[mʲɪˈʂal]
стручка́х	stručkáx	[strʊt͡ɕˈkax]
плоша́ть	plošátʹ	[plɐˈʂatʲ]
отхожу́	otxožú	[ɐtxɐˈʐu]
толсте́ют	tolstéjut	[tɐlˈs⁽ʲ⁾tʲejʊt]
сине́ем	sinéjem	[sʲɪˈnʲe(j)ɪm]
реа́лию	reáliju	[rʲɪˈalʲɪjʊ]
краеве́дческий	krajevédčeskij	[krə(j)ɪˈvʲet͡ɕːɪskʲɪj]
заде́ржанным	zadéržannym	[zɐˈdʲerʐən(ː)ɨm]
искажа́емый	iskažájemyj	[ɪskɐˈʐa(j)ɪmɨj]
баско́й	baskój	[bɐˈskoj]
высу́шиваетесь	vysúšivajetesʹ	[vɨˈsuʂɨvə(j)ɪtʲɪsʲ]
аппо́йнтментов	appójntmɛntov	[ɐˈpojntmɨntəf]
пра́зднованный	prázdnovannyj	[ˈpraznəvən(ː)ɨj]
попёрли	popjórli	[pɐˈpʲɵrlʲɪ]
закочене́вший	zakočenévšij	[zəkət͡ɕɪˈnʲefʂɨj]
отбо́ры	otbóry	[ɐdˈborɨ]
увеща́ют	uveščájut	[ʊvʲɪˈɕːæjʊt]
гу́глило	gúglilo	[ˈɡuɡlʲɪlə]
баци́ллы	bacílly	[bɐˈt͡sɨlɨ]
расплыва́лась	rasplyválasʹ	[rəsplɨˈvaləsʲ]
абио́там	abiótam	[ɐbʲɪˈotəm]
краси́теля	krasítelja	[krɐˈsʲitʲɪlʲə]
элитари́зм	elitarízm	[ɪlʲɪtɐˈrʲizm]
устрани́вши	ustranívši	[ʊstrɐˈnʲifʂɨ]
алалы́каю	alalýkaju	[ɐlɐˈlɨkəjʊ]
загрохо́чешь	zagroxóčešʹ	[zəɡrɐˈxot͡ɕɪʂ]
бина́рный	binárnyj	[bʲɪˈnarnɨj]
астеро́ид	asteróid, astɛróid	[ɐsʲtʲɪˈroɪt]
запрём	zaprjóm	[zɐˈprʲɵm]
очка́рики	očkáriki	[ɐt͡ɕˈkarʲɪkʲɪ]
сослага́ет	soslagájet	[səslɐˈɡa(j)ɪt]
пожива́в	poživáv	[pəʐɨˈvaf]
моли́ли	molíli	[mɐˈlʲilʲɪ]
переска́зана	pereskázana	[pʲɪrʲɪˈskazənə]
дунга́нами	dungánami	[dʊnˈɡanəmʲɪ]
закры́лись	zakrýlisʹ	[zɐˈkrɨlʲɪsʲ]
агва́нкам	agvánkam	[ɐɡˈvankəm]
опочи́ешь	opočíješʹ	[ɐpɐˈt͡ɕi(j)ɪʂ]
объясня́йся	obʺjasnjájsja	[ɐbjɪsʲˈnʲæjsʲə]
прируча́лась	priručálasʹ	[prʲɪrʊˈt͡ɕaləsʲ]
при́хвостню	príxvostnju	[ˈprʲixvəsʲnʲʊ]
припе́вам	pripévam	[prʲɪˈpʲevəm]
ле́звие	lézvije	[ˈlʲezvʲɪje]
одноро́дностям	odnoródnostjam	[ɐdnɐˈrodnəsʲtʲəm]
парапла́ны	paraplány	[pərɐˈplanɨ]
сви́стнуть	svístnutʹ	[ˈsvʲisnʊtʲ]
улицезре́ла	ulicezréla	[ʊlʲɪt͡sɨzˈrʲelə]
злы́дней	zlýdnej	[ˈzlɨdʲnʲɪj]
таджи́ка	tadžíka	[tɐd͡ʐˈʐɨkə]
настра́ивал	nastráival	[nɐˈstraɪvəl]
заля́жем	zaljážem	[zɐˈlʲaʐɨm]
позабы́ть	pozabýtʹ	[pəzɐˈbɨtʲ]
акти́вной ле́ксики	aktívnoj léksiki	[ɐkˈtʲivnəj ˈlʲeksʲɪkʲɪ]
гли́ссерам	glísseram	[ˈɡlʲisʲ(ː)ɪrəm]
нагова́ривая	nagovárivaja	[nəɡɐˈvarʲɪvəjə]
дифференциа́лах	differenciálax	[dʲɪfʲɪrʲɪnt͡sɨˈaləx]
свинца́ми	svincámi	[svʲɪnˈt͡samʲɪ]
клюк	kljuk	[klʲuk]
девяно́ста дву́м	devjanósta dvúm	[dʲɪvʲɪˈnostə ˈdvum]
уве́шает	uvéšajet	[ʊˈvʲeʂə(j)ɪt]
переку́пленный	perekúplennyj	[pʲɪrʲɪˈkuplʲɪn(ː)ɨj]
воро́тят	vorótjat	[vɐˈrotʲət]
заполо́шный	zapolóšnyj	[zəpɐˈloʂnɨj]
отпочко́вываться	otpočkóvyvatʹsja	[ɐtpɐt͡ɕˈkovɨvət͡sə]
навяза́вшийся	navjazávšijsja	[nəvʲɪˈzafʂɨjsʲə]
сшиба́й	sšibáj	[ʂːɨˈbaj]
вка́пываемый	vkápyvajemyj	[ˈfkapɨvə(j)ɪmɨj]
мастеря́щий	masterjáščij	[məsʲtʲɪˈrʲæɕːɪj]
передёрните	peredjórnite	[pʲɪrʲɪˈdʲɵrnʲɪtʲe]
разворо́вывающий	razvoróvyvajuščij	[rəzvɐˈrovɨvəjʉɕːɪj]
инициа́лам	iniciálam	[ɪnʲɪt͡sɨˈaləm]
ло́ндонцы	lóndoncy	[ˈlondənt͡sɨ]
супоста́тов	supostátov	[sʊpɐˈstatəf]
гениа́льностей	geniálʹnostej	[ɡʲɪnʲɪˈalʲnəsʲtʲɪj]
загружённость	zagružónnostʹ	[zəɡrʊˈʐonːəsʲtʲ]
раздави́	razdaví	[rəzdɐˈvʲi]
жити́й	žitíj	[ʐɨˈtʲij]
шали́вший	šalívšij	[ʂɐˈlʲifʂɨj]
пролётах	proljótax	[prɐˈlʲɵtəx]
подстережёте	podsterežóte	[pət͡sʲsʲtʲɪrʲɪˈʐotʲe]
отщепи́т	otščepít	[ɐt͡ɕɕːɪˈpʲit]
са́харная ва́та	sáxarnaja váta	[ˈsaxərnəjə ˈvatə]
килово́льтами	kilovólʹtami	[kʲɪlɐˈvolʲtəmʲɪ]
Явли́нский	Javlínskij	[(j)ɪˈvlʲinskʲɪj]
тре́лям	tréljam	[ˈtrʲelʲəm]
ха́ссиями	xássijami	[ˈxasʲ(ː)ɪjəmʲɪ]
лени́вец	lenívec	[lʲɪˈnʲivʲɪt͡s]
ри́нет	rínet	[ˈrʲinʲɪt]
абстраги́руемый	abstragírujemyj	[ɐpstrɐˈɡʲirʊ(j)ɪmɨj]
седмери́цах	sedmerícax	[sʲɪdmʲɪˈrʲit͡səx]
пересма́триваю	peresmátrivaju	[pʲɪrʲɪsˈmatrʲɪvəjʊ]
наго́ном	nagónom	[nɐˈɡonəm]
закули́сный	zakulísnyj	[zəkʊˈlʲisnɨj]
нама́чиваете	namáčivajete	[nɐˈmat͡ɕɪvə(j)ɪtʲe]
ба́рдов	bárdov	[ˈbardəf]
русифици́руетесь	rusificírujetesʹ	[rʊsʲɪfʲɪˈt͡sɨrʊ(j)ɪtʲɪsʲ]
занима́вши	zanimávši	[zənʲɪˈmafʂɨ]
стели́лся	stelílsja	[sʲtʲɪˈlʲils⁽ʲ⁾ə]
налью́	nalʹjú	[nɐˈlʲju]
переска́занными	pereskázannymi	[pʲɪrʲɪˈskazən(ː)ɨmʲɪ]
пари́лкой	parílkoj	[pɐˈrʲilkəj]
ощути́мо	oščutímo	[ɐɕːʉˈtʲimə]
рои́шь	roíšʹ	[rɐˈiʂ]
маникю́ров	manikjúrov	[mənʲɪˈkʲurəf]
ри́геля	rígelja	[ˈrʲiɡʲɪlʲə]
переска́занных	pereskázannyx	[pʲɪrʲɪˈskazən(ː)ɨx]
баско́й	baskój	[bɐˈskoj]
переска́занною	pereskázannoju	[pʲɪrʲɪˈskazən(ː)əjʊ]
холосто́м	xolostóm	[xəlɐˈstom]
предъявля́ю	predʺjavljáju	[prʲɪdjɪˈvlʲæjʊ]
моделье́ре	modɛlʹjére	[mədɨˈlʲjerʲe]
холоди́т	xolodít	[xəlɐˈdʲit]
истолкова́ние	istolkovánije	[ɪstəlkɐˈvanʲɪje]
изгиба́лась	izgibálasʹ	[ɪzɡʲɪˈbaləsʲ]
ато́ллов	atóllov	[ɐˈtoləf]
гербици́д	gerbicíd	[ɡʲɪrbʲɪˈt͡sɨt]
рябо́й	rjabój	[rʲɪˈboj]
москвитя́нин	moskvitjánin	[məskvʲɪˈtʲænʲɪn]
сплета́ете	spletájete	[splʲɪˈta(j)ɪtʲe]
разлива́лось	razliválosʹ	[rəz⁽ʲ⁾lʲɪˈvaləsʲ]
оглаша́ющий	oglašájuščij	[ɐɡlɐˈʂajʉɕːɪj]
пока́зывали	pokázyvali	[pɐˈkazɨvəlʲɪ]
перели́вам	perelívam	[pʲɪrʲɪˈlʲivəm]
каню́чил	kanjúčil	[kɐˈnʲʉt͡ɕɪl]
приоткрыва́лся	priotkryválsja	[prʲɪətkrɨˈvals⁽ʲ⁾ə]
арабиза́цией	arabizácijej	[ɐrəbʲɪˈzat͡sɨ(j)ɪj]
вя́кающий	vjákajuščij	[ˈvʲakəjʉɕːɪj]
съе́дешься	sʺjédešʹsja	[ˈsjedʲɪʂsʲə]
пои́лкою	poílkoju	[pɐˈilkəjʊ]
зао́рем	zaórem	[zɐˈorʲɪm]
га́дкими утя́тами	gádkimi utjátami	[ˈɡatkʲɪmʲɪ ʊˈtʲatəmʲɪ]
вы́чла	výčla	[ˈvɨt͡ɕlə]
закури́ть	zakurítʹ	[zəkʊˈrʲitʲ]
попо́лнились	popólnilisʹ	[pɐˈpolnʲɪlʲɪsʲ]
предоста́витесь	predostávitesʹ	[prʲɪdɐˈstavʲɪtʲɪsʲ]
капо́тах	kapótax	[kɐˈpotəx]
вертика́ли	vertikáli	[vʲɪrtʲɪˈkalʲɪ]
переска́зана	pereskázana	[pʲɪrʲɪˈskazənə]
любо́вник	ljubóvnik	[lʲʊˈbovnʲɪk]
компа́ртией	kompártijej	[kɐmˈpartʲɪ(j)ɪj]
што́кфишами	štókfišami	[ˈʂtokfʲɪʂəmʲɪ]
оскорбля́л	oskorbljál	[ɐskɐrˈblʲal]
руже́йниках	ružéjnikax	[rʊˈʐɛjnʲɪkəx]
переста́вите	perestávite	[pʲɪrʲɪˈstavʲɪtʲe]
гла́зках	glázkax	[ˈɡlaskəx]
баско́й	baskój	[bɐˈskoj]
ворча́	vorčá	[vɐrˈt͡ɕa]
баско́й	baskój	[bɐˈskoj]
ба́рынею	báryneju	[ˈbarɨnʲɪjʊ]
детализи́ровало	detalizírovalo	[dʲɪtəlʲɪˈzʲirəvələ]
баско́й	baskój	[bɐˈskoj]
ана́ла	anála	[ɐˈnalə]
учу́гами	učúgami	[ʊˈt͡ɕuɡəmʲɪ]
демонстра́нта	demonstránta	[dʲɪmɐnˈstrantə]
перегова́ривай	peregovárivaj	[pʲɪrʲɪɡɐˈvarʲɪvəj]
пилоти́ровав	pilotírovav	[pʲɪlɐˈtʲirəvəf]
захлёбывалась	zaxljóbyvalasʹ	[zɐˈxlʲɵbɨvələsʲ]
ацета́ты	acetáty	[ɐt͡sɨˈtatɨ]
гонг	gong	[ɡonk]
подстрекну́вши	podstreknúvši	[pət͡sstrʲɪkˈnufʂɨ]
крестья́нствах	krestʹjánstvax	[krʲɪsʲˈtʲjanstvəx]
вразуми́тельный	vrazumítelʹnyj	[vrəzʊˈmʲitʲɪlʲnɨj]
добы́тчиков	dobýtčikov	[dɐˈbɨt͡ɕːɪkəf]
баско́й	baskój	[bɐˈskoj]
безрассу́дству	bezrassúdstvu	[bʲɪzrɐˈsːut͡stvʊ]
дви́гавши	dvígavši	[ˈdvʲiɡəfʂɨ]
обле́пишь	oblépišʹ	[ɐˈblʲepʲɪʂ]
спасти́	spastí	[spɐˈsʲtʲi]
гонца́х	goncáx	[ɡɐnˈt͡sax]
переска́занным	pereskázannym	[pʲɪrʲɪˈskazən(ː)ɨm]
коси́чке	kosíčke	[kɐˈsʲit͡ɕkʲe]
снега́ми	snegámi	[sʲnʲɪˈɡamʲɪ]
перезво́нов	perezvónov	[pʲɪrʲɪzˈvonəf]
ва́ревах	várevax	[ˈvarʲɪvəx]
безрука́вкой	bezrukávkoj	[bʲɪzrʊˈkafkəj]
череду́ют	čeredújut	[t͡ɕɪrʲɪˈdujʊt]
непереноси́мый	neperenosímyj	[nʲɪpʲɪrʲɪnɐˈsʲimɨj]
у́чимся	účimsja	[ˈut͡ɕɪmsʲə]
молосто́в	molostóv	[məlɐˈstof]
сца́ла	scála	[ˈst͡salə]
пови́згивать	povízgivatʹ	[pɐˈvʲizɡʲɪvətʲ]
Нори́льск	Norílʹsk	[nɐˈrʲilʲsk]
полоте́нец	poloténec	[pəlɐˈtʲenʲɪt͡s]
подопе́чным	podopéčnym	[pədɐˈpʲet͡ɕnɨm]
тверди́вши	tverdívši	[tvʲɪrˈdʲifʂɨ]
назрева́ю	nazreváju	[nəzrʲɪˈvajʊ]
обезгла́вливал	obezglávlival	[ɐbʲɪzˈɡlavlʲɪvəl]
правосу́дия	pravosúdija	[prəvɐˈsudʲɪjə]
остана́вливались	ostanávlivalisʹ	[ɐstɐˈnavlʲɪvəlʲɪsʲ]
кли́нописям	klínopisjam	[ˈklʲinəpʲɪsʲəm]
намеча́вшийся	namečávšijsja	[nəmʲɪˈt͡ɕafʂɨjsʲə]
обме́ниваюсь	obménivajusʹ	[ɐbˈmʲenʲɪvəjʉsʲ]
захлебну́ться	zaxlebnútʹsja	[zəxlʲɪbˈnut͡sːə]
мерку́рия	merkúrija	[mʲɪrˈkurʲɪjə]
отступи́вши	otstupívši	[ɐt͡sstʊˈpʲifʂɨ]
амни́стиях	amnístijax	[ɐˈmnʲisʲtʲɪjəx]
нарабо́тках	narabótkax	[nərɐˈbotkəx]
раздраже́ние	razdražénije	[rəzdrɐˈʐɛnʲɪje]
упра́шиваемый	uprášivajemyj	[ʊˈpraʂɨvə(j)ɪmɨj]
аллерге́не	allergéne	[ɐlʲɪrˈɡʲenʲe]
отпочко́вываться	otpočkóvyvatʹsja	[ɐtpɐt͡ɕˈkovɨvət͡sə]
ца́рствами	cárstvami	[ˈt͡sarstvəmʲɪ]
моби́льные телефо́ны	mobílʹnyje telefóny	[mɐˈbʲilʲnɨje tʲɪlʲɪˈfonɨ]
ство́ром	stvórom	[ˈstvorəm]
аперту́рами	apertúrami	[ɐpʲɪrˈturəmʲɪ]
аудие́нцию	audiénciju, audijénciju	[ɐʊdʲɪˈɛnt͡sɨjʊ]
зелене́йте	zelenéjte	[zʲɪlʲɪˈnʲejtʲe]
благослови́ть	blagoslovítʹ	[bləɡəslɐˈvʲitʲ]
перегрева́нии	peregrevánii	[pʲɪrʲɪɡrʲɪˈvanʲɪɪ]
Карача́ево-Черке́сия	Karačájevo-Čerkésija	[kərɐˈt͡ɕæ(j)ɪvə t͡ɕɪrˈkʲesʲɪjə]
та́к же	ták že	[ˈtaɡ‿ʐɨ]
побря́кивали	pobrjákivali	[pɐˈbrʲækʲɪvəlʲɪ]
нота́циями	notácijami	[nɐˈtat͡sɨjəmʲɪ]
бро́уновским движе́нием	bróunovskim dvižénijem	[ˈbroʊnəfskʲɪm dvʲɪˈʐɛnʲɪ(j)ɪm]
зато́чников	zatóčnikov	[zɐˈtot͡ɕnʲɪkəf]
шко́льниц	škólʹnic	[ˈʂkolʲnʲɪt͡s]
убие́нных	ubijénnyx	[ʊbʲɪˈjenːɨx]
отбо́ром	otbórom	[ɐdˈborəm]
восполня́ет	vospolnjájet	[vəspɐlˈnʲæ(j)ɪt]
балюстра́дами	baljustrádami	[bəlʲʊˈstradəmʲɪ]
ки́сы	kísy	[ˈkʲisɨ]
ухудша́йся	uxudšájsja	[ʊxʊt͡ʂˈʂajsʲə]
покачну́лось	pokačnúlosʹ	[pəkɐt͡ɕˈnuləsʲ]
гербици́д	gerbicíd	[ɡʲɪrbʲɪˈt͡sɨt]
оподельдо́к	opodɛlʹdók	[ɐpədɨlʲˈdok]
наклоня́ли	naklonjáli	[nəklɐˈnʲælʲɪ]
ошеломля́ющий	ošelomljájuščij	[ɐʂɨlɐˈmlʲæjʉɕːɪj]
мошна́х	mošnáx	[mɐʂˈnax]
фе́сам	fésam	[ˈfʲesəm]
автома́тикой	avtomátikoj	[ɐftɐˈmatʲɪkəj]
перетека́ю	peretekáju	[pʲɪrʲɪtʲɪˈkajʊ]
бони́ста	bonísta	[bɐˈnʲistə]
деформи́ровала	deformírovala, dɛformírovala	[dʲɪfɐrˈmʲirəvələ]
изжа́ришь	izžárišʹ	[ɪˈʐːarʲɪʂ]
магнети́тах	magnetítax	[məɡnʲɪˈtʲitəx]
предпочита́ет	predpočitájet	[prʲɪtpət͡ɕɪˈta(j)ɪt]
Да́рвин	Dárvin	[ˈdarvʲɪn]
неиме́ниями	neiménijami	[nʲɪɪˈmʲenʲɪjəmʲɪ]
рыба́чив	rybáčiv	[rɨˈbat͡ɕɪf]
ровня́ла	rovnjála	[rɐvˈnʲalə]
хамелео́ну	xameleónu	[xəmʲɪlʲɪˈonʊ]
дебю́тах	debjútax	[dʲɪˈbʲutəx]
зефи́ры	zefíry	[zʲɪˈfʲirɨ]
		
заскуля́т	zaskulját	[zəskʊˈlʲat]
перемеси́	peremesí	[pʲɪrʲɪmʲɪˈsʲi]
прице́лам	pricélam	[prʲɪˈt͡sɛləm]
баллоти́руюсь	ballotírujusʹ	[bəlɐˈtʲirʊjʉsʲ]
ссо́ривши	ssórivši	[ˈsːorʲɪfʂɨ]
дикту́етесь	diktújetesʹ	[dʲɪkˈtu(j)ɪtʲɪsʲ]
		
переска́занного	pereskázannovo	[pʲɪrʲɪˈskazən(ː)əvə]
перебра́сывался	perebrásyvalsja	[pʲɪrʲɪˈbrasɨvəls⁽ʲ⁾ə]
ми́мик	mímik	[ˈmʲimʲɪk]
пра́вке	právke	[ˈprafkʲe]
квартира́нта	kvartiránta	[kvərtʲɪˈrantə]
арсе́никумов	arsénikumov	[ɐrˈsʲenʲɪkʊməf]
выкра́шиваешь	vykrášivaješʹ	[vɨˈkraʂɨvə(j)ɪʂ]
		
разме́рный	razmérnyj	[rɐzˈmʲernɨj]
реа́льно	reálʹno	[rʲɪˈalʲnə]
конструи́ровав	konstruírovav	[kənstrʊˈirəvəf]
рыда́ние	rydánije	[rɨˈdanʲɪje]
дура́чив	duráčiv	[dʊˈrat͡ɕɪf]
жук-оле́нь	žuk-olénʹ	[ˈʐuk ɐˈlʲenʲ]
подде́лывало	poddélyvalo	[pɐˈdʲːelɨvələ]
посчи́тываете	posčítyvajete	[pɐˈɕːitɨvə(j)ɪtʲe]
изоля́ций	izoljácij	[ɪzɐˈlʲat͡sɨj]
гонг	gong	[ɡonk]
адено́мам	adɛnómam	[ɐdɨˈnoməm]
стипе́ндия	stipéndija	[sʲtʲɪˈpʲenʲdʲɪjə]
брати́шкой	bratíškoj	[brɐˈtʲiʂkəj]
во́дам	vódam	[ˈvodəm]
мышело́вках	myšelóvkax	[mɨʂɨˈlofkəx]
отпочко́вываться	otpočkóvyvatʹsja	[ɐtpɐt͡ɕˈkovɨvət͡sə]
подтя́гивая	podtjágivaja	[pɐˈtʲːæɡʲɪvəjə]
затуси́ли	zatusíli	[zətʊˈsʲilʲɪ]
жук-оле́нь	žuk-olénʹ	[ˈʐuk ɐˈlʲenʲ]
солда́тику	soldátiku	[sɐlˈdatʲɪkʊ]
беру́тся	berútsja	[bʲɪˈrut͡sːə]
расправля́ешься	raspravljáješʹsja	[rəsprɐˈvlʲæ(j)ɪʂsʲə]
